('Stockfish 17.1 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3817', 'saved_engines\\Stockfish 17.1 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64.exe', '1', '2024-03-30T17:18:38Z', 'C++')
('Caissa 1.7 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3629', 'saved_engines\\Caissa 1.7 64-bit 8CPU\\Caissa_1.7\\Caissa_1.7_AVX2_BMI2.exe', '29', '2023-03-14T01:45:20Z', 'C++')
('Stormphrax 5.0.0 64-bit', 'https://github.com/Ciekce/Stormphrax', 'Conor Anstey (U.K.)', '3629', 'saved_engines\\Stormphrax 5.0.0 64-bit\\stormphrax-5.0.0-avx2-bmi2.exe', '29', '2024-06-26T15:46:14Z', 'C++')
('Caissa 1.13.1 64-bit', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3628', 'saved_engines\\Caissa 1.13.1 64-bit\\caissa-1.13-x64-avx2-bmi2.exe', '29', '2023-09-28T23:55:16Z', 'C++')
('Viridithas 10.0.0 64-bit 8CPU', 'https://github.com/cosmobobak/virtue', 'Cosmo Bobak (Scotland)', '3628', 'saved_engines\\Viridithas 10.0.0 64-bit 8CPU\\viridithas-10.0.0-x86_64-win-v1.exe', '29', '2023-06-19T11:22:05Z', 'Rust')
('Seer 2.5.0 64-bit 8CPU', 'https://github.com/connormcmonigle/seer-nnue', 'Connor McMonigle (USA)', '3625', 'saved_engines\\Seer 2.5.0 64-bit 8CPU\\seer_v2.5_x64_avx2_popcnt.exe', '29', '2022-04-25T03:07:34Z', 'C++')
('Velvet 6.0.0 64-bit 8CPU', 'https://github.com/mhonert/velvet-chess', 'Martin Honert (Germany)', '3625', 'saved_engines\\Velvet 6.0.0 64-bit 8CPU\\velvet-v6.0.0-x86_64-avx2.exe', '29', '2023-12-21T09:00:45Z', 'Rust')
('Quanticade Chimera 1.2 64-bit', 'https://github.com/Quanticade/Quanticade', 'Martin Botka', '3623', 'saved_engines\\Quanticade Chimera 1.2 64-bit\\Quanticade-bmi2.exe', '30', '2025-01-06T14:27:24Z', 'C')
('RubiChess 2021 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3621', 'saved_engines\\RubiChess 2021 64-bit 8CPU\\RubiChess-2021_x86-64-avx2.exe', '30', '2021-12-31T11:28:54Z', 'C')
('Caissa 1.11 64-bit', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3616', 'saved_engines\\Caissa 1.11 64-bit\\Caissa_1.11\\caissa-1.11-avx2-bmi2.exe', '31', '2023-07-23T23:45:29Z', 'C++')
('Clover 3.3.1 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3614', 'saved_engines\\Clover 3.3.1 64-bit 8CPU\\Clover.3.3-avx2.exe', '31', '2023-02-12T18:55:16Z', 'C++')
('Alexandria 5.0 64-bit', 'https://github.com/PGG106/Alexandria', '', '3607', 'saved_engines\\Alexandria 5.0 64-bit\\Alexandria-5.0.0-avx2.exe', '31', '2023-09-24T19:40:02Z', 'C++')
('Peacekeeper 2.30 64-bit 8CPU', 'https://github.com/Sazgr/peacekeeper', 'Kyle Zhang', '3607', 'saved_engines\\Peacekeeper 2.30 64-bit 8CPU\\peacekeeper-230-avx2.exe', '31', '2024-01-31T19:16:44Z', 'C')
